day,susceptible,infected,recovered,new_infections,new_recoveries
0,9990,10,0,2,1
1,9988,11,1,3,1
2,9985,13,2,3,1
3,9982,15,3,4,1
4,9978,18,4,5,1
5,9973,22,5,6,2
6,9967,26,7,7,2
7,9960,31,9,9,3
8,9951,37,12,11,3
9,9940,45,15,13,4
10,9927,54,19,16,5
11,9911,65,24,19,6
12,9892,78,30,23,7
13,9869,94,37,27,9
14,9842,112,46,33,11
15,9809,134,57,39,13
16,9770,160,70,46,16
17,9724,190,86,55,19
18,9669,226,105,65,22
19,9604,269,127,77,26
20,9527,320,153,91,32
21,9436,379,185,107,37
22,9329,449,222,125,44
23,9204,530,266,146,53
24,9058,623,319,169,62
25,8889,730,381,194,73
26,8695,851,454,221,85
27,8474,987,539,250,98
28,8224,1139,637,281,113
29,7943,1307,750,311,130
30,7632,1488,880,340,148
31,7292,1680,1028,367,168
32,6925,1879,1196,390,187
33,6535,2082,1383,408,208
34,6127,2282,1591,419,228
35,5708,2473,1819,423,247
36,5285,2649,2066,419,264
37,4866,2804,2330,409,280
38,4457,2933,2610,392,293
39,4065,3032,2903,369,303
40,3696,3098,3206,343,309
41,3353,3132,3515,315,313
42,3038,3134,3828,285,313
43,2753,3106,4141,256,310
44,2497,3052,4451,228,305
45,2269,2975,4756,202,297
46,2067,2880,5053,178,288
47,1889,2770,5341,156,277
48,1733,2649,5618,137,264
49,1596,2522,5882,120,252
50,1476,2390,6134,105,239
51,1371,2256,6373,92,225
52,1279,2123,6598,81,212
53,1198,1992,6810,71,199
54,1127,1864,7009,63,186
55,1064,1741,7195,55,174
56,1009,1622,7369,49,162
57,960,1509,7531,43,150
58,917,1402,7681,38,140
59,879,1300,7821,34,130
60,845,1204,7951,30,120
61,815,1114,8071,27,111
62,788,1030,8182,24,103
63,764,951,8285,21,95
64,743,877,8380,19,87
65,724,809,8467,17,80
66,707,746,8547,15,74
67,692,687,8621,14,68
68,678,633,8689,12,63
69,666,582,8752,11,58
70,655,535,8810,10,53
71,645,492,8863,9,49
72,636,452,8912,8,45
73,628,415,8957,7,41
74,621,381,8998,7,38
75,614,350,9036,6,35
76,608,321,9071,5,32
77,603,294,9103,5,29
78,598,270,9132,4,27
79,594,247,9159,4,24
80,590,227,9183,4,22
81,586,209,9205,3,20
82,583,192,9225,3,19
83,580,176,9244,3,17
84,577,162,9261,2,16
85,575,148,9277,2,14
86,573,136,9291,2,13
87,571,125,9304,2,12
88,569,115,9316,1,11
89,568,105,9327,1,10
90,567,96,9337,1,9
91,566,88,9346,1,8
92,565,81,9354,1,8
93,564,74,9362,1,7
94,563,68,9369,1,6
95,562,63,9375,1,6
96,561,58,9381,0,5
97,561,53,9386,0,5
98,561,48,9391,0,4
99,561,44,9395,0,4
100,561,40,9399,0,4
